# Every string that should resolve to a curated ingredient (D1). Read by
# tool/gen_ingredient_seed.dart together with ingredients.csv. Run `make seed`.
#
# ingredient_key   must exist in ingredients.csv.
# locale           sr | en. Nothing else (CLAUDE.md).
# name             as a human writes it, diacritics and all. normalize_text()
#                  strips them on the way into the database, so `ćufte` and
#                  `cufte` and `ЋУФТЕ` are one row here and one match there.
# is_display_name  exactly one true per (ingredient_key, locale). This is the
#                  string shown back on a shopping list.
#
# The non-display rows are the point of this file. Serbian is heavily inflected
# and there is no stemmer (D6), so the forms recipes actually use are written
# down: `dve kašike brašna`, `200 g šargarepe`. Nominative alone matches almost
# nothing. The fuzzy tier catches the rest.
#
# No commas inside any field. No two rows may normalize to the same string in
# the same locale -- a unique index rejects that, and it would mean one word
# resolving two ways.

ingredient_key,locale,name,is_display_name

# --- flour -----------------------------------------------------------------
brasno,sr,brašno,true
brasno,sr,brašna,false
brasno,en,flour,true
brasno_glatko,sr,glatko brašno,true
brasno_glatko,sr,glatkog brašna,false
brasno_glatko,sr,brašno glatko,false
brasno_glatko,sr,meko brašno,false
brasno_glatko,en,all-purpose flour,true
brasno_glatko,en,plain flour,false
brasno_ostro,sr,oštro brašno,true
brasno_ostro,sr,oštrog brašna,false
brasno_ostro,en,bread flour,true
brasno_ostro,en,strong flour,false
brasno_integralno,sr,integralno brašno,true
brasno_integralno,sr,integralnog brašna,false
brasno_integralno,en,wholemeal flour,true
brasno_kukuruzno,sr,kukuruzno brašno,true
brasno_kukuruzno,sr,kukuruznog brašna,false
brasno_kukuruzno,sr,palenta,false
brasno_kukuruzno,en,cornmeal,true

# --- sugar -----------------------------------------------------------------
secer,sr,šećer,true
secer,sr,šećera,false
secer,en,sugar,true
secer_kristal,sr,kristal šećer,true
secer_kristal,sr,beli šećer,false
secer_kristal,en,granulated sugar,true
secer_u_prahu,sr,šećer u prahu,true
secer_u_prahu,sr,prah šećer,false
secer_u_prahu,en,powdered sugar,true
secer_u_prahu,en,icing sugar,false
secer_vanilin,sr,vanilin šećer,true
secer_vanilin,sr,vanil šećer,false
secer_vanilin,en,vanilla sugar,true
secer_smedji,sr,smeđi šećer,true
secer_smedji,sr,braon šećer,false
secer_smedji,en,brown sugar,true

# --- cream -----------------------------------------------------------------
pavlaka,sr,pavlaka,true
pavlaka,sr,pavlake,false
pavlaka,en,cream,true
pavlaka_slatka,sr,slatka pavlaka,true
pavlaka_slatka,sr,slatke pavlake,false
pavlaka_slatka,en,heavy cream,true
pavlaka_slatka,en,whipping cream,false
pavlaka_kisela,sr,kisela pavlaka,true
pavlaka_kisela,sr,kisele pavlake,false
pavlaka_kisela,en,sour cream,true

# --- paprika ---------------------------------------------------------------
aleva_paprika,sr,aleva paprika,true
aleva_paprika,sr,aleve paprike,false
aleva_paprika,en,ground paprika,true
aleva_paprika_slatka,sr,slatka aleva paprika,true
aleva_paprika_slatka,en,sweet paprika,true
aleva_paprika_ljuta,sr,ljuta aleva paprika,true
aleva_paprika_ljuta,en,hot paprika,true

# --- yeast -----------------------------------------------------------------
kvasac,sr,kvasac,true
kvasac,sr,kvasca,false
kvasac,en,yeast,true
kvasac_suvi,sr,suvi kvasac,true
kvasac_suvi,sr,suvog kvasca,false
kvasac_suvi,en,dry yeast,true
kvasac_suvi,en,instant yeast,false
kvasac_svezi,sr,svež kvasac,true
kvasac_svezi,sr,svežeg kvasca,false
kvasac_svezi,en,fresh yeast,true

# --- oil -------------------------------------------------------------------
ulje,sr,ulje,true
ulje,sr,ulja,false
ulje,en,oil,true
ulje,en,cooking oil,false
ulje_suncokretovo,sr,suncokretovo ulje,true
ulje_suncokretovo,sr,suncokretovog ulja,false
ulje_suncokretovo,en,sunflower oil,true
ulje_maslinovo,sr,maslinovo ulje,true
ulje_maslinovo,sr,maslinovog ulja,false
ulje_maslinovo,en,olive oil,true

# --- chicken ---------------------------------------------------------------
piletina,sr,piletina,true
piletina,sr,piletine,false
piletina,sr,pileće meso,false
piletina,en,chicken,true
pileca_prsa,sr,pileća prsa,true
pileca_prsa,sr,pilećih prsa,false
pileca_prsa,en,chicken breast,true
pileci_batak,sr,pileći batak,true
pileci_batak,sr,pileći bataci,false
pileci_batak,en,chicken drumstick,true
pileci_file,sr,pileći file,true
pileci_file,sr,pilećeg filea,false
pileci_file,en,chicken fillet,true

# --- the Serbian pantry ----------------------------------------------------
kajmak,sr,kajmak,true
kajmak,sr,kajmaka,false
kajmak,en,kajmak,true
ajvar,sr,ajvar,true
ajvar,sr,ajvara,false
ajvar,en,ajvar,true
pindjur,sr,pinđur,true
pindjur,en,pindjur,true
urnebes,sr,urnebes,true
urnebes,sr,urnebes salata,false
urnebes,en,urnebes,true
vegeta,sr,vegeta,true
vegeta,sr,vegete,false
vegeta,en,vegeta,true
zacin_c,sr,začin C,true
zacin_c,en,seasoning C,true
suvo_meso,sr,suvo meso,true
suvo_meso,sr,suvog mesa,false
suvo_meso,en,dried meat,true
slanina,sr,slanina,true
slanina,sr,slanine,false
